id,budget,revenue,release_year,keywords
13291,22000000,23530831,2008,original
10661,90000000,201596308,2008,original
13813,32000000,51155219,2008,original
21583,0,2434658,2008,original
8090,35000000,32483410,2008,original
10665,9000000,82391145,2008,original
12914,7000000,0,2008,original
10139,20000000,54586584,2008,original
10529,50000000,7033683,2008,original
8836,30000000,68369434,2008,original
14359,20000000,50907234,2008,original
14976,0,0,2008,original
14447,0,0,2008,original
13600,55000000,17869048,2008,original
10761,40000000,84601681,2008,original
12184,35000000,0,2008,original
13825,0,558000,2008,original
13809,18000000,25739015,2008,original
9030,12000000,56309766,2008,original
11671,13000000,14894347,2008,original
13184,45000000,42487390,2008,original
7278,30000000,84646831,2008,original
8988,25000000,11207130,2008,original
8457,40000000,0,2008,original
4960,21000000,0,2008,original
8338,25000000,19844979,2008,original
8285,60000000,39031337,2008,original
14349,0,204660,2008,original
13510,0,3983997,2008,original
17436,18000000,382174,2008,original
8645,60000000,163403799,2008,original
13460,30000000,22211426,2008,original
16763,5000000,0,2008,original
18533,0,0,2008,original
8885,2000000,11125849,2008,original
13752,8,0,2008,original
27996,0,0,2008,original
4564,65000000,415252786,2008,original
10186,15000000,8762890,2008,original
10199,60000000,50877145,2008,original
13009,0,0,2008,original
25741,6100000,0,2008,original
11918,35000000,25871834,2008,original
14098,10000000,0,2008,original
17606,15000000,1143856,2008,original
14405,20000000,149281606,2008,original
12165,20000000,0,2008,original
4148,35000000,75225693,2008,original
4953,0,0,2008,original
13090,5000000,16174377,2008,original
14305,0,0,2008,original
11152,8000000,0,2008,original
13655,0,0,2008,original
12797,0,0,2008,original
10360,0,2724474,2008,original
17622,0,0,2008,original
13190,0,0,2008,original
12178,0,16051363,2008,original
13150,30000000,31148328,2008,original
13827,6000000,69497,2008,original
8780,30000000,63833449,2008,original
13541,0,0,2008,original
13991,7000000,6230276,2008,original
33409,0,0,2008,original
7353,0,0,2008,original
12568,20000000,13204291,2008,original
10885,0,0,2008,original
21755,20000000,5530764,2008,original
11260,60000000,50650079,2008,original
14154,0,0,2008,original
13812,12000000,40855419,2008,original
12912,0,240476,2008,original
14011,3500000,5231128,2008,original
12192,8000000,0,2008,original
6933,20000000,0,2008,original
23966,0,0,2008,original
12689,1,0,2008,original
10190,0,367638,2008,original
14851,0,0,2008,original
12085,0,0,2008,original
13004,0,0,2008,original
19929,0,0,2008,original
13690,0,0,2008,original
13849,0,0,2008,original
13851,3500000,0,2008,original
10362,12000000,3148182,2008,original
13944,25000000,2000000,2008,original
10188,27000000,44352417,2008,original
14325,40000000,9793496,2008,original
14220,0,6575282,2008,original
10900,3500000,1115493,2008,original
13972,16000000,50007546,2008,original
17108,10000000,22896728,2008,original
16164,0,2960993,2008,original
13506,2000000,38135878,2008,original
14326,0,84375061,2008,original
13160,10000000,0,2008,original
11802,37000000,63800345,2008,original
13279,20000000,27640028,2008,original
10183,0,0,2008,original
10378,150000,0,2008,original
15208,0,0,2008,original
14212,0,0,2008,original
14642,1000000,0,2008,original
12245,14100000,0,2008,original
14215,0,0,2008,original
14073,8376800,13000000,2008,original
8617,0,14796236,2008,original
14476,0,0,2008,original
13973,3000000,3830137,2008,original
16350,0,0,2008,original
13191,5000000,1296184,2008,original
13990,6000000,2899975,2008,original
8944,25000000,6673422,2008,original
13300,0,194287,2008,original
15801,0,44872,2008,original
14728,0,0,2008,original
14556,10000000,0,2008,original
8884,12000000,0,2008,original
63287,0,0,2008,original
17314,10000000,0,2008,original
1782,15400000,0,2008,original
13805,25000000,14109284,2008,original
14048,0,2957978,2008,original
14771,0,0,2008,original
12412,45000000,9323833,2008,original
20036,0,0,2008,original
18570,0,0,2008,original
24411,0,0,2008,original
13803,6000000,0,2008,original
13596,20000000,36620508,2008,original
8279,19000000,23550000,2008,original
16342,0,0,2008,original
16179,0,0,2008,original
10185,15000000,3533227,2008,original
13256,8000000,2033165,2008,original
14538,0,0,2008,original
14863,0,0,2008,original
31216,0,0,2008,original
18616,2000000,0,2008,original
13007,0,0,2008,original
10187,21000000,17600000,2008,original
13793,0,1107542,2008,original
9022,750000,0,2008,original
13094,0,0,2008,original
16005,0,0,2008,original
23963,1500000,0,2008,original
60086,0,0,2008,original
13107,0,1829917,2008,original
8266,0,0,2008,original
14940,0,165888,2008,original
10523,25100000,29506464,2008,original
14061,0,0,2008,original
15741,500000,0,2008,original
14438,500000,33456317,2008,original
14244,0,0,2008,original
12890,7000000,10569964,2008,original
16061,0,0,2008,original
8282,0,0,2008,original
8669,12000000,0,2008,original
14539,0,0,2008,original
12400,7000000,0,2008,original
8929,0,0,2008,original
10488,37000000,100076342,2008,original
10289,0,0,2008,original
14248,25000000,30000000,2008,original
14643,14000000,0,2008,original
13058,0,0,2008,original
13260,0,33472850,2008,original
16409,0,14879423,2008,original
13092,27000000,17286299,2008,original
14833,0,0,2008,original
16611,0,0,2008,original
21910,0,0,2008,original
4627,8000000,0,2008,original
16564,4000000,530048,2008,original
15749,6000000,391410,2008,original
8942,200000,0,2008,original
3511,6700000,0,2008,original
14255,0,0,2008,original
8281,0,0,2008,original
15342,0,0,2008,original
20313,0,0,2008,original
22152,1500000,0,2008,original
14541,0,0,2008,original
15088,0,0,2008,original
14054,0,414404,2008,original
8359,0,0,2008,original
22371,0,0,2008,original
14070,9100000,76000000,2008,original
168643,21000000,0,2008,original
21182,0,0,2008,original
14301,200000,3,2008,original
31299,2500000,0,2008,original
19311,0,0,2008,original
19237,0,0,2008,original
15511,0,0,2008,original
63315,0,0,2008,original
29751,0,0,2008,original
18911,20000,0,2008,original
15126,0,0,2008,original
8926,0,0,2008,original
22600,0,0,2008,original
16450,0,0,2008,original
13996,5000000,4040588,2008,original
15465,0,0,2008,original
14859,0,0,2008,original
12621,0,0,2008,original
15531,0,0,2008,original
26901,0,11295,2008,original
16867,0,0,2008,original
16919,0,0,2008,original
15991,0,0,2008,original
7351,6000000,1300000,2008,original
12179,0,0,2008,original
15011,0,0,2008,original
13003,0,0,2008,original
16277,0,0,2008,original
16279,0,900689,2008,original
8747,0,0,2008,original
20382,0,0,2008,original
43727,0,0,2008,original
7944,0,0,2008,original
20764,2500000,107559,2008,original
26018,0,0,2008,original
20033,0,0,2008,original
8899,0,0,2008,original
20529,0,0,2008,original
15942,0,0,2008,original
13636,0,307811,2008,original
23190,0,0,2008,original
13797,2000000,0,2008,original
32579,0,23311391,2008,original
16999,3000000,0,2008,original
20034,0,0,2008,original
11115,0,0,2008,original
12410,0,0,2008,original
19197,170000,0,2008,original
15705,10000000,0,2008,original
30969,0,0,2008,original
176297,0,0,2008,original
14758,0,0,2008,original
19375,0,119563,2008,original
16194,0,0,2008,original
18094,0,0,2008,original
13180,0,0,2008,original
13359,3500000,7700000,2008,original
8064,0,0,2008,original
20113,0,0,2008,original
27374,0,0,2008,original
27258,0,0,2008,original
14582,0,0,2008,original
8908,0,0,2008,original
18635,0,0,2008,original
17358,0,0,2008,original
70027,0,0,2008,original
19079,0,0,2008,original
27621,0,0,2008,original
12411,0,0,2008,original
39393,0,0,2008,original
13676,0,0,2008,original
15125,8000000,0,2008,original
33295,0,887029,2008,original
161337,0,0,2011,original
1771,140000000,370569774,2011,original
64690,15000000,76175166,2011,original
12445,125000000,1327817822,2011,original
1865,380000000,1021683000,2011,original
61791,93000000,482860185,2011,original
10195,150000000,444115007,2011,original
49530,40000000,173930596,2011,original
47327,50000000,28931401,2011,original
27582,40000000,51070807,2011,original
45612,32000000,147332697,2011,original
56292,145000000,694713380,2011,original
50646,50000000,142851197,2011,original
65754,90000000,232617430,2011,based on novel
51876,27000000,161849455,2011,original
49444,150000000,665692281,2011,original
50546,80000000,214918407,2011,original
51540,35000000,117000000,2011,original
39254,110000000,299268508,2011,original
50544,35000000,150483765,2011,original
52449,20000000,216197492,2011,original
58574,125000000,334615000,2011,original
49013,200000000,559852396,2011,original
44912,200000000,219851172,2011,original
45243,80000000,254455986,2011,original
41630,25000000,147780440,2011,original
17578,130000000,371940071,2011,original
55721,32500000,288383523,2011,original
48988,36000000,83160734,2011,original
37686,50000000,260095987,2011,original
23629,82000000,89792502,2011,original
49730,42000000,89162162,2011,original
50619,110000000,712171856,2011,original
76025,6500000,17693675,2011,original
58224,55000000,187361754,2011,original
8967,32000000,54674226,2011,original
46529,50000000,144492830,2011,original
46195,90000000,484635760,2011,original
74643,15000000,133432856,2011,original
38317,80000000,169852759,2011,original
49849,163000000,174822325,2011,original
86130,0,0,2011,original
57212,66000000,177584879,2011,original
40807,8000000,39187783,2011,original
44896,135000000,245724603,2011,original
49520,52000000,75450437,2011,original
44826,170000000,185770160,2011,original
50348,40000000,85412898,2011,original
71676,57000000,149217355,2011,original
51828,15000000,59389433,2011,original
48171,37000000,96047633,2011,original
51162,30000000,14460000,2011,original
52451,75000000,132274484,2011,original
73358,0,0,2011,original
58232,8000000,1749457,2011,original
71672,0,0,2011,original
59436,30000000,151119219,2011,original
38321,60000000,78309131,2011,original
51052,0,0,2011,original
57157,12000000,22939027,2011,original
59440,25000000,23057115,2011,original
59965,35000000,82087155,2011,original
48138,30000000,130786397,2011,original
38050,50200000,127869379,2011,original
37958,75000000,226904017,2011,original
60420,250000,3542353,2011,original
59861,30000000,36160375,2011,original
39513,40000000,97552050,2011,original
69798,0,88025781,2011,original
62835,40000000,60965854,2011,original
44943,70000000,202466756,2011,original
55779,47000000,157887643,2011,original
45610,30000000,2527904,2011,original
63492,20000000,30426096,2011,original
23047,40000000,88100000,2011,original
75900,6400000,35057696,2011,original
71670,6000000,0,2011,original
58547,0,201146,2011,original
71469,30000000,64626786,2011,original
50014,25000000,124272124,2011,based on novel
75174,25000000,77278331,2011,original
